Reason_type,Reason,percent
1_reg_no,Buy Personal Goods,25.75 
1_reg_no,Conflict Displacement,0.71 
1_reg_no,Disaster Displacement,2.55 
1_reg_no,Economic,21.07 
1_reg_no,Education,16.26 
1_reg_no,Family related travel,23.82 
1_reg_no,Healthcare,1.22 
1_reg_no,Other,3.14 
1_reg_no,Return from Displacement,0.87 
1_reg_no,Return from Voluntary Travel,1.81 
1_reg_no,Seasonal,1.75 
1_reg_no,Travel to Collect Aid,1.06 
2_reg_no,Buy Personal Goods,14.57 
2_reg_no,Conflict Displacement,2.14 
2_reg_no,Disaster Displacement,3.52 
2_reg_no,Economic,18.66 
2_reg_no,Education,14.10 
2_reg_no,Family related travel,25.83 
2_reg_no,Food Insecurity,0.99 
2_reg_no,Healthcare,1.93 
2_reg_no,Other,6.98 
2_reg_no,Return from Voluntary Travel,3.50 
2_reg_no,Seasonal,5.55 
2_reg_no,Travel to Collect Aid,2.24 
3_reg_no,Buy Personal Goods,20.86 
3_reg_no,Conflict Displacement,0.89 
3_reg_no,Disaster Displacement,2.25 
3_reg_no,Economic,19.17 
3_reg_no,Education,12.89 
3_reg_no,Family related travel,25.19 
3_reg_no,Food Insecurity,0.20 
3_reg_no,Healthcare,0.86 
3_reg_no,Other,4.30 
3_reg_no,Return from Displacement,0.37 
3_reg_no,Return from Voluntary Travel,3.22 
3_reg_no,Seasonal,1.70 
3_reg_no,Travel to Collect Aid,8.11 
4_reg_no,Buy Personal Goods,25.79 
4_reg_no,Conflict Displacement,0.24 
4_reg_no,Disaster Displacement,1.55 
4_reg_no,Economic,25.08 
4_reg_no,Education,18.05 
4_reg_no,Family related travel,17.43 
4_reg_no,Food Insecurity,0.42 
4_reg_no,Healthcare,0.89 
4_reg_no,Other,1.10 
4_reg_no,Return from Displacement,0.21 
4_reg_no,Return from Voluntary Travel,0.94 
4_reg_no,Seasonal,2.99 
4_reg_no,Travel to Collect Aid,5.31 
5_reg_no,Buy Personal Goods,17.17 
5_reg_no,Conflict Displacement,0.17 
5_reg_no,Disaster Displacement,0.59 
5_reg_no,Economic,25.99 
5_reg_no,Education,18.93 
5_reg_no,Family related travel,17.98 
5_reg_no,Food Insecurity,0.43 
5_reg_no,Healthcare,1.64 
5_reg_no,Other,2.39 
5_reg_no,Return from Displacement,0.32 
5_reg_no,Return from Voluntary Travel,3.72 
5_reg_no,Seasonal,2.37 
5_reg_no,Travel to Collect Aid,8.28 
6_reg_no,Buy Personal Goods,17.33 
6_reg_no,Conflict Displacement,0.05 
6_reg_no,Disaster Displacement,0.64 
6_reg_no,Economic,28.30 
6_reg_no,Education,11.55 
6_reg_no,Family related travel,18.52 
6_reg_no,Food Insecurity,1.63 
6_reg_no,Healthcare,1.64 
6_reg_no,Other,2.06 
6_reg_no,Return from Displacement,0.44 
6_reg_no,Return from Voluntary Travel,6.32 
6_reg_no,Seasonal,3.72 
6_reg_no,Travel to Collect Aid,7.81 
7_reg_no,Buy Personal Goods,7.27 
7_reg_no,Conflict Displacement,0.15 
7_reg_no,Disaster Displacement,1.18 
7_reg_no,Economic,12.14 
7_reg_no,Education,1.42 
7_reg_no,Family Related Travel,13.14 
7_reg_no,Food Insecurity,14.81 
7_reg_no,Healthcare,1.53 
7_reg_no,Other,8.00 
7_reg_no,Return from Displacement,0.82 
7_reg_no,Return from Voluntary Travel,22.52 
7_reg_no,Seasonal,0.86 
7_reg_no,Travel To Collect Aid,16.16 
8_reg_no,Buy Personal Goods,9.82 
8_reg_no,Conflict Displacement,0.14 
8_reg_no,Economic,23.11 
8_reg_no,Education,2.45 
8_reg_no,Family Related Travel,18.21 
8_reg_no,Food Insecurity,1.14 
8_reg_no,Healthcare,0.98 
8_reg_no,Other,3.49 
8_reg_no,Return from Displacement,0.59 
8_reg_no,Return from Voluntary Travel,22.01 
8_reg_no,Seasonal,0.72 
8_reg_no,Travel To Collect Aid,17.35 
9_reg_no,Buy Personal Goods,2.96 
9_reg_no,Conflict Displacement,0.05 
9_reg_no,Economic,16.20 
9_reg_no,Education,7.34 
9_reg_no,Family Related Travel,12.33 
9_reg_no,Food Insecurity,0.03 
9_reg_no,Healthcare,1.03 
9_reg_no,Other,8.80 
9_reg_no,Return from Displacement,0.17 
9_reg_no,Return from Voluntary Travel,27.23 
9_reg_no,Seasonal,0.50 
9_reg_no,Travel To Collect Aid,23.35 
10_reg_no,Buy Personal Goods,17.69 
10_reg_no,Conflict Displacement,0.10 
10_reg_no,Disaster Displacement,0.62 
10_reg_no,Economic,26.82 
10_reg_no,Education,17.93 
10_reg_no,Family Related Trave!,14.32 
10_reg_no,Food Insecurity,1.20 
10_reg_no,Healthcare,2.90 
10_reg_no,Other,2.63 
10_reg_no,Return from Displacement,0.28 
10_reg_no,Return from Voluntary Travel,8.63 
10_reg_no,Seasonal,4.75 
10_reg_no,Travel to Collect Aid,2.13
