month,lmt_Migration_Yes,ly_percent,lmt_Migration_Noorunknown,ln_percent,Registered_Refugee_Yes,ry_percent,Registered_Refugee_No,rn_percent
1,165,2.07,7798,97.93,227,2.85,7736,97.15
2,179,1.6,10987,98.4,4061,36.37,7105,63.63
3,159,0.94,16693,99.06,4440,26.35,12412,73.65
4,389,4.11,9070,95.89,2740,28.97,6719,71.03
5,556,3.28,16403,96.72,6589,38.85,10370,61.15
6,337,1.54,21495,98.46,9417,43.13,12415,56.87
7,379,1.69,21995,98.31,13629,60.91,8745,39.09
8,421,2.46,16674,97.54,11301,66.11,5794,33.89
9,364,2.23,15967,97.77,9942,60.88,6389,39.12
10,743,4.97,14202,95.03,4275,28.6,10670,71.4
